year,state,state_ID,gender,1st_name,2nd_name,3rd_name,4th_name,5th_name,6th_name,7th_name,8th_name,9th_name,10th_name,1st_count,2nd_count,3rd_count,4th_count,5th_count,6th_count,7th_count,8th_count,9th_count,10th_count
1930,GA,049,M,James,William,Robert,John,Willie,Charles,George,Thomas,Henry,Walter,2377,1523,1329,1298,1137,908,643,554,389,351
1930,DC,050,M,William,Robert,James,John,Charles,George,Richard,Joseph,Donald,Thomas,285,275,266,259,176,132,130,118,104,92
1930,FL,051,M,James,William,Robert,John,Charles,George,Willie,Richard,Joseph,Thomas,823,631,601,584,404,311,265,213,207,200
1940,HI,001,M,Robert,James,Richard,George,John,Roy,Kenneth,William,Stanley,Edward,169,140,140,124,117,112,109,88,81,80
1940,AK,002,M,John,James,William,Robert,David,George,Richard,Frank,Joseph,Thomas,43,26,26,19,18,15,15,14,14,13
1940,WA,003,M,Robert,James,John,Richard,William,David,Gary,Larry,Michael,Ronald,680,594,575,518,441,436,433,323,304,284
1940,OR,004,M,Robert,Richard,James,John,William,David,Gary,Larry,Ronald,Donald,439,374,372,327,278,268,228,213,183,181
1940,CA,005,M,Robert,John,Richard,James,William,David,Gary,Ronald,Michael,Charles,3120,2420,2219,2101,1798,1554,1183,1160,1124,1050
1940,ID,006,M,Robert,Gary,Larry,Richard,John,James,David,William,Ronald,Donald,242,194,179,179,171,154,139,128,111,96
1940,NV,007,M,Robert,James,John,William,Richard,David,Gary,Donald,Frank,Larry,49,45,40,31,30,28,24,21,16,16
1940,MT,008,M,Robert,James,John,Richard,William,Gary,David,Larry,Donald,Charles,279,234,230,214,166,162,151,135,117,102
1940,WY,009,M,Robert,John,James,Richard,William,Larry,Charles,Gary,Jerry,David,107,100,95,80,65,61,60,56,48,46
1940,UT,010,M,Richard,John,Robert,David,Gary,James,Larry,Ronald,William,Dennis,240,221,218,216,172,169,154,122,122,99
1940,AZ,011,M,Robert,John,James,Richard,Charles,William,Frank,David,Joe,George,242,189,172,151,137,132,119,115,112,89
1940,CO,012,M,Robert,John,James,Richard,William,Larry,David,Donald,Charles,Ronald,561,440,421,379,359,268,264,263,255,218
1940,NM,013,M,Joe,Robert,James,John,Richard,Jose,George,David,Frank,William,215,211,167,145,131,111,102,101,98,96
1940,ND,014,M,Robert,James,Richard,John,Gary,David,Donald,Dennis,Larry,Kenneth,242,223,213,196,190,186,184,166,152,133
