year,state,state_ID,gender,first,second,third,forth,fifth,sixth,seventh,eighth,nineth,tenth,1st_count,2nd_count,3rd_count,4th_count,5th_count,6th_count,7th_count,8th_count,9th_count,10th_count
1950,WI,25,F,Mary,Linda,Susan,Barbara,Kathleen,Patricia,Sandra,Nancy,Karen,Carol,2062,1883,1529,1303,1277,1142,861,841,813,743
1950,MI,26,F,Linda,Mary,Susan,Patricia,Barbara,Nancy,Kathleen,Sandra,Deborah,Carol,4010,2937,2293,2135,1789,1665,1544,1537,1536,1454
1950,IL,27,F,Linda,Mary,Patricia,Susan,Barbara,Kathleen,Nancy,Carol,Sandra,Deborah,4383,3811,2738,2619,2395,2027,1946,1727,1613,1598
1950,IN,28,F,Linda,Mary,Patricia,Deborah,Susan,Nancy,Barbara,Sandra,Karen,Sharon,2262,1517,1085,1084,938,918,910,853,822,773
1950,OH,29,F,Linda,Mary,Patricia,Barbara,Deborah,Susan,Karen,Nancy,Sandra,Sharon,4475,3321,2633,2398,2245,2207,1922,1762,1654,1652
1950,KY,30,F,Linda,Mary,Brenda,Patricia,Barbara,Sharon,Judy,Sandra,Carolyn,Deborah,1897,1559,1214,959,798,634,613,607,575,574
1950,TN,31,F,Linda,Mary,Brenda,Patricia,Barbara,Judy,Sandra,Carolyn,Shirley,Betty,2042,1551,1338,1183,904,813,780,710,679,659
1950,MS,32,F,Mary,Linda,Barbara,Patricia,Betty,Dorothy,Shirley,Brenda,Annie,Sandra,1636,1078,628,614,579,570,567,533,472,403
1950,AL,33,F,Mary,Linda,Brenda,Patricia,Barbara,Sandra,Betty,Shirley,Carolyn,Deborah,1840,1694,1094,1070,945,722,654,630,570,566
1950,ME,34,F,Linda,Nancy,Mary,Susan,Patricia,Barbara,Deborah,Donna,Brenda,Sharon,489,265,264,258,216,190,188,186,180,176
1950,VT,35,F,Linda,Mary,Susan,Patricia,Carol,Nancy,Sandra,Barbara,Donna,Diane,237,155,142,110,91,88,86,84,83,80
